physician_id,specialty_description,state,total_patients,total_prescriptions,total_drug_cost_usd,unique_drugs_prescribed
1958287383,Anesthesiology,NV,304,1398,257505.48,17
1464037804,Psychiatry,NY,354,1163,197237.39,32
1960226208,Neurology,WA,317,721,260179.09,26
1685698675,Surgery,MA,76,173,25800.85,34
1578798403,Endocrinology,VA,318,821,95717.32,43
1145478504,Family Medicine,MN,614,3373,307561.28,80
1161587757,Neurology,TX,307,1004,432105.13,25
1133436988,Pediatrics,RI,324,687,41278.4,38
1488856231,Pathology,OR,116,477,72436.89,16
1499446327,Otolaryngology,WI,139,557,72086.37,40
1437568796,Nephrology,LA,227,1217,65580.48,26
1635844374,Oncology,MO,387,933,393014.65,43
1330393232,Endocrinology,ME,351,947,66630.22,19
1585377142,Psychiatry,VA,327,1795,307980.68,35
1817087513,Anesthesiology,VA,133,522,48835.37,14
1269119969,Infectious Disease,VA,189,903,114060.97,22
1315801027,Plastic Surgery,FL,221,1053,56801.56,50
1714478186,Anesthesiology,NJ,382,937,171130.84,7
1432098383,Pathology,VA,345,1324,218956.08,23
1179189225,Pediatrics,MA,137,489,74335.99,37
1237798236,Cardiothoracic Surgery,WY,191,809,62531.23,23
1564520346,Oncology,AR,163,621,159251.47,25
1446454337,Oral Surgery,VA,215,690,131883.57,33
1184675178,Internal Medicine,IL,625,3342,304682.3,70
1425155441,Endocrinology,OH,147,552,41563.05,24
1283825267,Rheumatology,SC,272,1346,467420.46,16
1187212377,Dermatology,TN,395,1155,133792.23,41
1763688866,Nephrology,AK,354,1809,238492.45,34
1618558050,Emergency Medicine,UT,507,1541,93917.71,18
1269737590,Otolaryngology,NE,347,1258,127094.34,24
1435632899,Neurosurgery,VA,131,598,107111.73,40
1240409084,Physical Medicine,MS,363,1439,140831.16,44
1231556899,Internal Medicine,NH,426,1062,61161.42,54
1760756497,Ophthalmology,KS,181,877,209373.02,35
1303832812,Physical Medicine,HI,355,1947,233683.36,34
1634047267,Cardiology,CO,301,1134,221133.4,28
1726360971,Anesthesiology,AR,125,373,52081.18,25
1822113500,Urology,ME,374,758,50122.42,23
1383975609,Family Medicine,MS,691,2357,133845.45,33
1712335251,Gastroenterology,IL,285,1121,68414.36,47
1583564328,Physical Medicine,OK,243,1187,170318.16,22
1238151258,Orthopedics,MT,291,1391,140300.15,38
1910637681,Pediatrics,IL,360,1225,68646.84,17
1247141682,Infectious Disease,MI,342,1305,94405.14,47
1250088694,Obstetrics and Gynecology,SC,263,675,134049.84,34
1737506993,Obstetrics and Gynecology,NC,360,1390,217272.25,34
1609912042,Vascular Surgery,AK,288,909,60394.59,41
1726745401,Surgery,WA,56,228,20481.14,29
1874597473,Dermatology,PA,345,895,167306.19,39
1258672959,Vascular Surgery,UT,224,472,90732.93,22
1304853117,Cardiology,NH,260,901,100861.56,28
1540639384,Oncology,WY,341,1723,702196.67,18
1857820386,Pediatrics,ND,206,816,162970.24,45
1664226794,Pathology,MA,188,678,88119.02,22
1480412754,Rheumatology,WY,235,971,210990.98,30
1399580835,Gastroenterology,MD,215,1138,224571.83,33
1856881618,Radiology,VT,350,1088,111324.68,13
1409011489,Orthopedics,OR,378,1258,247856.29,37
1930071496,Plastic Surgery,GA,248,532,102834.03,20
1471904990,Oral Surgery,NH,231,1066,87516.49,49
1391126537,Oral Surgery,OK,239,592,84272.12,30
1360337343,Dermatology,TX,371,1035,123767.59,21
1543778963,Obstetrics and Gynecology,VA,341,802,132823.16,15
1690936560,Oral Surgery,HI,308,1319,240186.1,45
1612656440,Nephrology,IL,247,771,113248.09,20
1800400428,Pulmonology,IA,373,1710,303610.44,17
1287974375,Ophthalmology,ID,118,647,95425.43,46
1300050585,Oral Surgery,WV,248,1257,64597.32,21
1459748735,Surgery,NJ,189,724,132773.63,23
1641394238,Otolaryngology,LA,198,956,95220.1,44
1796091085,Internal Medicine,VA,395,809,81358.56,48
1709650444,Rheumatology,WI,198,517,232469.71,40
1987973565,Ophthalmology,NC,267,615,119170.7,26
1250980852,Urology,MA,227,459,49359.1,43
1909340042,Internal Medicine,MI,454,1833,249162.63,46
1801887172,Anesthesiology,VT,220,487,32986.33,14
1271494637,Pathology,UT,357,1867,341978.79,14
1841193655,Orthopedics,SD,251,824,68496.97,23
1613443905,Pediatrics,NJ,291,1005,133047.1,45
1913198930,Gastroenterology,TX,211,984,149618.47,20
1664258474,Otolaryngology,ND,285,647,87102.57,18
1989889367,Gastroenterology,NC,203,812,58852.02,35
1658712474,Otolaryngology,DE,205,924,113951.56,47
1578333394,Plastic Surgery,AR,332,817,91760.28,18
1700003920,Otolaryngology,UT,257,1164,127332.64,15
1900801470,Radiology,PA,137,295,29995.4,7
1681069884,Dermatology,CA,341,719,107495.81,23
1922301213,Nephrology,WA,315,1042,191415.44,43
1505333621,Pathology,CO,376,927,165972.85,8
1291634595,Gastroenterology,MT,370,904,177915.03,15
1911941471,Cardiology,MD,337,1468,193286.86,49
1507245006,Vascular Surgery,IA,226,816,59786.86,27
1878488534,Physical Medicine,DE,116,560,63216.21,16
1358413465,Radiology,CA,151,615,71934.19,6
1362781292,Family Medicine,AZ,505,1785,233770.69,78
1933291969,Dermatology,FL,357,1955,234223.58,35
1720058859,Endocrinology,WY,264,746,135353.31,48
1337342839,Ophthalmology,MD,240,531,128102.92,26
1772155012,Rheumatology,NV,384,1434,703092.47,39
1943751263,Oncology,MA,313,1073,273573.12,26
1910048118,Gastroenterology,NM,223,1108,105382.39,24
1965195567,Otolaryngology,AR,387,1332,149818.27,48
1243980993,Pathology,KS,230,623,91584.66,19
1498441427,Neurology,OH,197,429,120981.77,17
1178151583,Radiology,WI,400,1814,242763.21,20
1324292944,Neurosurgery,MI,127,679,35511.74,27
1896152940,Orthopedics,WV,345,1794,276893.03,28
1525880424,Oral Surgery,KS,382,1193,110303.44,44
1673002461,Nephrology,MN,257,749,95064.94,46
1600368062,Orthopedics,WA,340,1586,155483.5,28
1498041381,Obstetrics and Gynecology,NE,123,488,40597.26,24
1117415986,Internal Medicine,OK,778,3146,497073.63,48
1263650505,Radiology,MI,217,722,126353.18,20
1691247918,Nephrology,UT,272,788,136512.17,46
1594811370,Psychiatry,WA,280,725,114584.1,46
1297619784,Oral Surgery,OH,130,498,87578.42,19
1978316418,Rheumatology,AR,103,354,157491.29,29
1172980019,Infectious Disease,GA,104,287,33981.22,18
1763395529,Nephrology,TX,347,1494,78225.49,49
1692322761,Ophthalmology,AL,108,416,52709.66,33
1118406723,Oncology,VT,320,1542,722304.69,21
1203416251,Oncology,GA,223,595,198884.46,37
1387037751,Plastic Surgery,MT,140,462,51237.7,30
1848651792,Emergency Medicine,MD,650,3183,197640.55,17
1200395400,Pathology,MO,293,1152,67296.66,5
1854674236,Psychiatry,CO,355,1760,258255.51,36
1707583925,Neurosurgery,CT,185,965,81508.7,45
1391086098,Dermatology,CA,243,1250,219745.85,17
1292580427,Oral Surgery,MA,108,579,79934.09,40
1182611003,Surgery,HI,194,551,96533.87,39
1826960759,Cardiothoracic Surgery,OH,134,448,72110.88,20
1637722224,Family Medicine,MN,327,765,64888.52,34
1465708674,Endocrinology,WY,303,1633,161595.96,32
1941328406,Otolaryngology,NY,216,700,133820.0,42
1299434489,Rheumatology,PA,294,676,247764.52,30
1865694462,Neurology,CO,237,601,239851.29,24
1894198823,Pathology,MA,284,673,34174.46,14
1577531502,Anesthesiology,WI,238,561,35396.06,18
1581942228,Gastroenterology,OK,362,1240,66884.71,37
1695088987,Neurology,RI,266,1336,206170.47,41
1516396603,Physical Medicine,CO,386,1994,392271.56,48
1282088279,Rheumatology,MO,186,462,117992.93,46
1256696327,Neurology,HI,322,955,243442.19,19
1487754927,Internal Medicine,KS,669,2801,389537.76,42
1591625191,Orthopedics,FL,255,516,56426.56,39
1963370520,Neurosurgery,MI,162,513,88400.84,23
1422589929,Obstetrics and Gynecology,RI,202,742,56871.03,40
1442671456,Surgery,WV,175,942,157592.98,35
1503786306,Internal Medicine,MT,486,1165,156782.88,67
1685864775,Psychiatry,UT,381,797,126788.36,28
1570787423,Plastic Surgery,ME,135,656,111092.63,41
1822604249,Urology,FL,255,726,108028.4,42
1947264726,Pathology,CA,329,1798,219149.6,17
1673772626,Oncology,VT,314,1225,522771.59,38
1853374076,Cardiothoracic Surgery,OH,71,169,14742.66,37
1278604592,Nephrology,SC,122,484,71029.27,40
1908186980,Obstetrics and Gynecology,NV,154,313,27797.77,47
1901927335,Oncology,OK,397,1749,397654.58,38
1519977113,Otolaryngology,WY,356,899,179490.21,45
1212259020,Surgery,NE,71,170,32487.24,24
1474015041,Surgery,MI,166,787,100867.61,37
1611275626,Orthopedics,NH,331,1031,97985.84,22
1124250578,Neurosurgery,MI,77,336,25083.45,30
1654044237,Psychiatry,OK,181,571,65068.54,44
1348952994,Plastic Surgery,MT,194,514,76378.44,40
1131344962,Family Medicine,SC,752,2023,280854.05,54
1104778194,Infectious Disease,IN,205,609,94738.45,19
1719922596,Orthopedics,OH,195,639,50839.57,22
1381699808,Rheumatology,NY,370,1990,516785.96,39
1756387421,Pathology,PA,158,508,89828.46,24
1285250002,Vascular Surgery,UT,252,1314,182022.18,23
1436280635,Orthopedics,KS,256,616,65293.48,24
1648494024,Pathology,NE,170,682,77376.87,20
1782364690,Gastroenterology,VT,188,741,91473.71,23
1300895568,Obstetrics and Gynecology,NH,127,638,122991.27,46
1246603034,Radiology,MO,387,1458,181149.91,20
1546279777,Infectious Disease,NH,350,904,121867.94,29
1413629152,Dermatology,LA,215,834,90568.67,44
1707362554,Family Medicine,WY,692,2583,327061.78,66
1222628457,Internal Medicine,WY,578,2821,296287.56,78
1144678958,Physical Medicine,WA,325,1271,252250.74,21
1890261845,Vascular Surgery,TN,226,687,137329.17,43
1382195698,Anesthesiology,CO,324,1629,110133.28,12
1325354965,Plastic Surgery,WV,279,1398,197871.9,42
1278221407,Endocrinology,FL,205,993,169620.36,37
1671532152,Internal Medicine,RI,575,1488,292912.83,48
1410669201,Pulmonology,LA,363,1978,300448.11,21
1245587477,Physical Medicine,NE,130,711,128020.63,23
1853150998,Neurosurgery,FL,113,283,27823.01,30
1917626034,Vascular Surgery,UT,301,1117,152597.65,32
1774108885,Ophthalmology,MO,331,749,161096.24,20
1532557724,Oncology,WV,242,1072,489969.47,44
1624033772,Obstetrics and Gynecology,PA,101,509,90131.23,20
1884832186,Otolaryngology,SD,283,1408,238447.18,40
1333893106,Ophthalmology,IN,353,1037,228988.7,36
1687670209,Pulmonology,FL,389,1938,326059.87,18
1149330844,Orthopedics,SD,335,689,130506.89,25
1573827182,Otolaryngology,AL,319,863,132288.22,23
1797929178,Surgery,HI,120,279,29034.22,20
1499264207,Rheumatology,TN,184,401,147953.56,29
1560883210,Nephrology,CO,148,296,35970.22,23
1737458510,Emergency Medicine,ND,648,2305,118037.63,36
1977364141,Orthopedics,NV,167,613,51701.66,20
1884651200,Plastic Surgery,CT,152,470,85609.72,23
1510943598,Physical Medicine,WI,168,713,108069.81,19
1669628927,Pulmonology,AL,184,651,103095.49,24
1542070132,Endocrinology,UT,326,1633,102884.23,21
1250337960,Physical Medicine,DE,296,956,109374.35,23
1366058599,Internal Medicine,TN,343,983,137767.31,76
1752398123,Surgery,WY,56,278,41355.5,34
1320595661,Oncology,RI,360,957,274767.0,18
1941600554,Cardiothoracic Surgery,KS,176,589,50749.57,19
1667243311,Cardiothoracic Surgery,AL,142,748,52208.48,41
1492358645,Gastroenterology,UT,188,877,169408.29,19
1117920106,Pulmonology,CA,107,312,17463.9,18
1947493681,Pathology,NC,246,1033,129287.54,18
1554810443,Infectious Disease,MT,142,602,78650.28,24
1397928718,Neurology,MD,140,530,117193.14,24
1675944565,Obstetrics and Gynecology,MT,400,1688,295702.1,19
1433041955,Infectious Disease,NV,222,488,30710.78,42
1224539647,Otolaryngology,SC,128,394,63534.09,26
1228250953,Cardiology,VA,170,757,56453.2,37
1661572729,Oncology,WA,232,599,116461.0,32
1886983862,Cardiothoracic Surgery,DE,57,180,20591.76,48
1168582026,Internal Medicine,VA,799,3210,197609.22,59
1648447868,Anesthesiology,AR,355,1777,133332.24,10
1373928805,Physical Medicine,CT,393,1713,115284.97,47
1102757916,Dermatology,AL,225,486,68951.74,24
1292157835,Oral Surgery,AZ,383,1842,289383.95,41
1341071485,Obstetrics and Gynecology,KS,313,1629,159626.15,19
1713682070,Anesthesiology,DE,357,1555,90035.78,12
1963651372,Oncology,AZ,305,683,213630.76,33
1930568802,Neurosurgery,MD,133,306,36264.65,38
1315469014,Surgery,OR,127,582,50277.58,38
1735323297,Urology,WY,200,912,120369.3,30
1261669421,Cardiology,NE,112,315,32118.52,15
1459722166,Cardiology,WI,292,1451,230828.35,21
1320325776,Oncology,KS,314,1168,199685.11,24
1864131026,Internal Medicine,CO,322,1682,310485.63,63
1543516366,Infectious Disease,MS,334,1807,113362.8,21
1642698931,Pediatrics,SD,301,680,91917.71,42
1811293744,Pediatrics,KS,249,725,70507.22,40
1852398388,Vascular Surgery,WV,267,831,75449.3,19
1317661025,Pediatrics,WY,399,950,62556.23,43
1600422869,Obstetrics and Gynecology,NE,161,623,121295.11,28
1585242269,Surgery,NJ,117,583,37057.31,34
